Class,Original,Quantized,Difference
0,0.7740,0.2650,-0.5090
1,0.8830,0.0260,-0.8570
2,0.6030,0.7230,0.1200
3,0.4670,0.3460,-0.1210
4,0.7300,0.0600,-0.6700
5,0.6870,0.0530,-0.6340
6,0.7920,0.2470,-0.5450
7,0.7520,0.0050,-0.7470
8,0.8070,0.0300,-0.7770
9,0.7930,0.0120,-0.7810
