Class,Original,Quantized,Difference
0,0.7740,0.7740,0.0000
1,0.8830,0.8840,0.0010
2,0.6030,0.6010,-0.0020
3,0.4670,0.4670,0.0000
4,0.7300,0.7300,0.0000
5,0.6870,0.6880,0.0010
6,0.7920,0.7920,0.0000
7,0.7520,0.7520,0.0000
8,0.8070,0.8070,0.0000
9,0.7930,0.7930,0.0000
