Class,Original,Quantized,Difference
0,0.7740,0.7710,-0.0030
1,0.8830,0.8860,0.0030
2,0.6030,0.6100,0.0070
3,0.4670,0.4760,0.0090
4,0.7300,0.7260,-0.0040
5,0.6870,0.6820,-0.0050
6,0.7920,0.7910,-0.0010
7,0.7520,0.7410,-0.0110
8,0.8070,0.8020,-0.0050
9,0.7930,0.7910,-0.0020
